物品ID,数量范围,拥有这个类型战利品的战利品表,其他信息
minecraft:poppy,"1, 1~3, 1~4","dungeons_arise:chests/lighthouse/lighthouse_top
dungeons_arise:chests/merchant_campsite/merchant_campsite_supply
dungeons_arise:chests/shiraz_palace/shiraz_palace_gardens
dungeons_arise:chests/shiraz_palace/shiraz_palace_library
dungeons_arise:chests/shiraz_palace/shiraz_palace_supply",
minecraft:porkchop,3~9,dungeons_arise:chests/scorched_mines/scorched_mines_hub,
minecraft:potato,"1~16, 1~2, 1~4","dungeons_arise:chests/illager_campsite/illager_campsite_supply
dungeons_arise:chests/illager_corsair/illager_corsair_supply
dungeons_arise:chests/illager_galley/illager_galley_supply
dungeons_arise:chests/merchant_campsite/merchant_campsite_supply
dungeons_arise:chests/monastery/monastery_barrels
dungeons_arise:chests/mushroom_village/mushroom_village_barrels
dungeons_arise:chests/small_prairie_house/small_prairie_house_barrels
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_supply",
minecraft:potion,"1, 1~3, 2~3","dungeons_arise:chests/aviary/aviary_barrels
dungeons_arise:chests/bandit_towers/bandit_towers_normal
dungeons_arise:chests/bandit_towers/bandit_towers_rooms
dungeons_arise:chests/bandit_towers/bandit_towers_supply
dungeons_arise:chests/bathhouse/bathhouse_barrels
dungeons_arise:chests/bathhouse/bathhouse_normal
dungeons_arise:chests/fishing_hut/fishing_hut_barrels
dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_hallways
dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_normal
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_supply
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_barrels
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_normal
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_treasure
dungeons_arise:chests/heavenly_rider/heavenly_rider_barrels
dungeons_arise:chests/heavenly_rider/heavenly_rider_normal
dungeons_arise:chests/heavenly_rider/heavenly_rider_treasure
dungeons_arise:chests/illager_windmill/illager_windmill_barrels
dungeons_arise:chests/mechanical_nest/mechanical_nest_supply
dungeons_arise:chests/mushroom_village/mushroom_village_barrels
dungeons_arise:chests/plague_asylum/plague_asylum_barrels
dungeons_arise:chests/plague_asylum/plague_asylum_potions","自定义NBT
药水(minecraft:water)"
minecraft:prismarine_shard,4~8,"dungeons_arise:chests/lighthouse/lighthouse_top
dungeons_arise:chests/shiraz_palace/shiraz_palace_library",
minecraft:pumpkin,"12~16, 1~2","dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_barrels
dungeons_arise:chests/heavenly_rider/heavenly_rider_barrels
dungeons_arise:chests/heavenly_rider/heavenly_rider_normal
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_treasure",
minecraft:pumpkin_pie,"12~16, 1~8, 2~4, 4~12, 4~5","dungeons_arise:chests/aviary/aviary_barrels
dungeons_arise:chests/bandit_towers/bandit_towers_supply
dungeons_arise:chests/bathhouse/bathhouse_barrels
dungeons_arise:chests/bathhouse/bathhouse_normal
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_supply
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_barrels
dungeons_arise:chests/heavenly_rider/heavenly_rider_barrels
dungeons_arise:chests/heavenly_rider/heavenly_rider_normal
dungeons_arise:chests/illager_windmill/illager_windmill_treasure
dungeons_arise:chests/merchant_campsite/merchant_campsite_supply
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_supply
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_supply
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_supply",
minecraft:purple_dye,"1~2, 1~3","dungeons_arise:chests/illager_campsite/illager_campsite_tent
dungeons_arise:chests/shiraz_palace/shiraz_palace_rooms",
minecraft:quartz,"1, 1~4, 6~12, 8~32, 8~64","dungeons_arise:chests/illager_corsair/illager_corsair_treasure
dungeons_arise:chests/illager_galley/illager_galley_treasure
dungeons_arise:chests/plague_asylum/plague_asylum_storage
dungeons_arise:chests/small_blimp/small_blimp_coal_storage
dungeons_arise:chests/small_blimp/small_blimp_redstone_chamber
dungeons_arise:chests/thornborn_towers/thornborn_towers_rooms
dungeons_arise:chests/thornborn_towers/thornborn_towers_top_rooms
dungeons_arise:chests/typhon/typhon_treasure
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_treasure",
minecraft:raw_iron_block,8~12,dungeons_arise:chests/mechanical_nest/mechanical_nest_treasure,
minecraft:red_mushroom,"1~3, 1~4, 1~6, 4~16","dungeons_arise:chests/giant_mushroom/red_giant_mushroom
dungeons_arise:chests/giant_mushroom/twin_giant_mushroom
dungeons_arise:chests/illager_corsair/illager_corsair_supply
dungeons_arise:chests/illager_galley/illager_galley_supply
dungeons_arise:chests/mines_treasure_medium
dungeons_arise:chests/mines_treasure_small
dungeons_arise:chests/mining_system/mining_system_barrels
dungeons_arise:chests/monastery/monastery_barrels
dungeons_arise:chests/mushroom_mines/mushroom_mines_barrels
dungeons_arise:chests/mushroom_mines/mushroom_mines_ores
dungeons_arise:chests/mushroom_mines/mushroom_mines_tools
dungeons_arise:chests/mushroom_village/mushroom_village_barrels
dungeons_arise:chests/shiraz_palace/shiraz_palace_towers
dungeons_arise:chests/small_prairie_house/small_prairie_house_barrels
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_supply",
minecraft:red_wool,1~3,dungeons_arise:chests/heavenly_challenger/heavenly_challenger_theater,
minecraft:redstone,"1, 16~32, 1~12, 1~3, 1~32, 1~8, 8~24","dungeons_arise:chests/illager_corsair/illager_corsair_barrels
dungeons_arise:chests/illager_galley/illager_galley_barrels
dungeons_arise:chests/illager_windmill/illager_windmill_barrels
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_treasure
dungeons_arise:chests/lighthouse/lighthouse_top
dungeons_arise:chests/mechanical_nest/mechanical_nest_equipment
dungeons_arise:chests/mechanical_nest/mechanical_nest_normal
dungeons_arise:chests/plague_asylum/plague_asylum_storage
dungeons_arise:chests/shiraz_palace/shiraz_palace_library
dungeons_arise:chests/small_blimp/small_blimp_coal_storage
dungeons_arise:chests/small_blimp/small_blimp_redstone_chamber
dungeons_arise:chests/small_blimp/small_blimp_treasure
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_barrels",
minecraft:redstone_block,1~2,"dungeons_arise:chests/mechanical_nest/mechanical_nest_equipment
dungeons_arise:chests/mechanical_nest/mechanical_nest_normal",
minecraft:redstone_lamp,"1, 1~6, 4~8","dungeons_arise:chests/mechanical_nest/mechanical_nest_equipment
dungeons_arise:chests/mechanical_nest/mechanical_nest_normal
dungeons_arise:chests/plague_asylum/plague_asylum_storage
dungeons_arise:chests/small_blimp/small_blimp_coal_storage
dungeons_arise:chests/small_blimp/small_blimp_redstone_chamber",
minecraft:redstone_torch,"1, 3~4","dungeons_arise:chests/plague_asylum/plague_asylum_storage
dungeons_arise:chests/shiraz_palace/shiraz_palace_rooms
dungeons_arise:chests/small_blimp/small_blimp_coal_storage
dungeons_arise:chests/small_blimp/small_blimp_redstone_chamber",
minecraft:repeater,"1, 2~3, 6~12","dungeons_arise:chests/greenwood_pub/greenwood_pub_normal
dungeons_arise:chests/plague_asylum/plague_asylum_storage
dungeons_arise:chests/small_blimp/small_blimp_coal_storage
dungeons_arise:chests/small_blimp/small_blimp_redstone_chamber",
minecraft:rose_bush,"1, 1~2, 1~3, 1~4","dungeons_arise:chests/bandit_towers/bandit_towers_gardens
dungeons_arise:chests/bandit_towers/bandit_towers_treasure
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_theater
dungeons_arise:chests/merchant_campsite/merchant_campsite_map
dungeons_arise:chests/merchant_campsite/merchant_campsite_tent
dungeons_arise:chests/monastery/monastery_bridges
dungeons_arise:chests/mushroom_house/mushroom_house_barrels
dungeons_arise:chests/mushroom_house/mushroom_house_normal
dungeons_arise:chests/mushroom_village/mushroom_village_treasure
dungeons_arise:chests/shiraz_palace/shiraz_palace_elite
dungeons_arise:chests/shiraz_palace/shiraz_palace_gardens
dungeons_arise:chests/shiraz_palace/shiraz_palace_normal
dungeons_arise:chests/shiraz_palace/shiraz_palace_supply
dungeons_arise:chests/small_prairie_house/small_prairie_house_normal
dungeons_arise:chests/small_prairie_house/small_prairie_house_ruined
dungeons_arise:chests/thornborn_towers/thornborn_towers_barrels
dungeons_arise:chests/thornborn_towers/thornborn_towers_rooms
dungeons_arise:chests/thornborn_towers/thornborn_towers_top_rooms
dungeons_arise:chests/thornborn_towers/thornborn_towers_top_treasure",
minecraft:saddle,1,dungeons_arise:chests/illager_windmill/illager_windmill_barrels,
minecraft:salmon,2~7,dungeons_arise:chests/fishing_hut/fishing_hut_barrels,
minecraft:salmon_bucket,1,"dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_barrels
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_barrels
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_barrels
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_barrels
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_barrels",
minecraft:sand,1~3,"dungeons_arise:chests/bandit_towers/bandit_towers_barrels
dungeons_arise:chests/bandit_village/bandit_village_barrels
dungeons_arise:chests/bandit_village/bandit_village_normal
dungeons_arise:chests/bandit_village/bandit_village_tents",
minecraft:shears,1,"dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_barrels
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_barrels
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_barrels
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_barrels
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_barrels",
minecraft:shroomlight,2~6,dungeons_arise:chests/scorched_mines/scorched_mines_hub,
minecraft:skeleton_skull,"1, 1~2","dungeons_arise:chests/illager_corsair/illager_corsair_treasure
dungeons_arise:chests/illager_galley/illager_galley_treasure
dungeons_arise:chests/jungle_tree_house/jungle_tree_house_treasure
dungeons_arise:chests/lighthouse/lighthouse_top
dungeons_arise:chests/plague_asylum/plague_asylum_barrels
dungeons_arise:chests/plague_asylum/plague_asylum_normal
dungeons_arise:chests/shiraz_palace/shiraz_palace_library
dungeons_arise:chests/small_blimp/small_blimp_treasure
dungeons_arise:chests/thornborn_towers/thornborn_towers_top_treasure
dungeons_arise:chests/typhon/typhon_treasure
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_treasure
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_normal
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_treasure
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_normal
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_treasure
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_normal
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_treasure
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_normal
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_treasure
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_normal_lower
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_normal_upper
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_treasure",
minecraft:slime_ball,"1, 16~32, 1~16, 1~2, 1~32, 1~4, 1~8, 2~3","dungeons_arise:chests/abandoned_temple/abandoned_temple_entrance
dungeons_arise:chests/abandoned_temple/abandoned_temple_map
dungeons_arise:chests/abandoned_temple/abandoned_temple_top
dungeons_arise:chests/bandit_towers/bandit_towers_barrels
dungeons_arise:chests/bandit_village/bandit_village_barrels
dungeons_arise:chests/bandit_village/bandit_village_normal
dungeons_arise:chests/bandit_village/bandit_village_tents
dungeons_arise:chests/ceryneian_hind/ceryneian_hind_treasure
dungeons_arise:chests/giant_mushroom/red_giant_mushroom
dungeons_arise:chests/giant_mushroom/twin_giant_mushroom
dungeons_arise:chests/illager_campsite/illager_campsite_map
dungeons_arise:chests/illager_campsite/illager_campsite_supply
dungeons_arise:chests/illager_campsite/illager_campsite_tent
dungeons_arise:chests/keep_kayra/keep_kayra_normal
dungeons_arise:chests/keep_kayra/keep_kayra_treasure
dungeons_arise:chests/merchant_campsite/merchant_campsite_tent
dungeons_arise:chests/mines_treasure_big
dungeons_arise:chests/mines_treasure_medium
dungeons_arise:chests/mining_system/mining_system_treasure
dungeons_arise:chests/monastery/monastery_bridges
dungeons_arise:chests/mushroom_house/mushroom_house_barrels
dungeons_arise:chests/mushroom_house/mushroom_house_normal
dungeons_arise:chests/mushroom_house/mushroom_house_treasure
dungeons_arise:chests/mushroom_mines/mushroom_mines_barrels
dungeons_arise:chests/mushroom_mines/mushroom_mines_treasure
dungeons_arise:chests/plague_asylum/plague_asylum_barrels
dungeons_arise:chests/plague_asylum/plague_asylum_cells
dungeons_arise:chests/small_prairie_house/small_prairie_house_normal
dungeons_arise:chests/small_prairie_house/small_prairie_house_ruined
dungeons_arise:chests/thornborn_towers/thornborn_towers_barrels",
minecraft:slime_block,"1, 1~2","dungeons_arise:chests/plague_asylum/plague_asylum_storage
dungeons_arise:chests/small_blimp/small_blimp_coal_storage
dungeons_arise:chests/small_blimp/small_blimp_redstone_chamber",
minecraft:soul_lantern,1,"dungeons_arise:chests/keep_kayra/keep_kayra_garden_normal
dungeons_arise:chests/keep_kayra/keep_kayra_garden_treasure",
minecraft:soul_sand,"1, 1~2","dungeons_arise:chests/foundry/foundry_passage_normal
dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_hallways
dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_normal",
minecraft:spider_eye,1~3,"dungeons_arise:chests/infested_temple/infested_temple_room_bookshelf
dungeons_arise:chests/infested_temple/infested_temple_room_forge
dungeons_arise:chests/infested_temple/infested_temple_room_garden
dungeons_arise:chests/infested_temple/infested_temple_room_normal
dungeons_arise:chests/infested_temple/infested_temple_room_supply
dungeons_arise:chests/infested_temple/infested_temple_room_table",
minecraft:splash_potion,"1, 1~2, 1~3, 1~4","dungeons_arise:chests/aviary/aviary_barrels
dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_hallways
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_supply
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_theater
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_barrels
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_normal
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_treasure
dungeons_arise:chests/heavenly_rider/heavenly_rider_barrels
dungeons_arise:chests/heavenly_rider/heavenly_rider_normal
dungeons_arise:chests/heavenly_rider/heavenly_rider_treasure
dungeons_arise:chests/mechanical_nest/mechanical_nest_supply
dungeons_arise:chests/mechanical_nest/mechanical_nest_treasure
dungeons_arise:chests/plague_asylum/plague_asylum_potions
dungeons_arise:chests/shiraz_palace/shiraz_palace_gardens
dungeons_arise:chests/shiraz_palace/shiraz_palace_supply
dungeons_arise:chests/shiraz_palace/shiraz_palace_treasure",自定义NBT
minecraft:sponge,1,"dungeons_arise:chests/lighthouse/lighthouse_top
dungeons_arise:chests/shiraz_palace/shiraz_palace_library",
minecraft:spruce_planks,"1~3, 1~8","dungeons_arise:chests/illager_campsite/illager_campsite_map
dungeons_arise:chests/illager_campsite/illager_campsite_tent
dungeons_arise:chests/plague_asylum/plague_asylum_barrels",
minecraft:spruce_wood,"1, 3~8","dungeons_arise:chests/illager_corsair/illager_corsair_barrels
dungeons_arise:chests/illager_galley/illager_galley_barrels
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_barrels",
minecraft:stick,"1, 1~3, 1~4, 1~8, 2~4","dungeons_arise:chests/illager_campsite/illager_campsite_map
dungeons_arise:chests/illager_campsite/illager_campsite_supply
dungeons_arise:chests/illager_campsite/illager_campsite_tent
dungeons_arise:chests/infested_temple/infested_temple_room_bookshelf
dungeons_arise:chests/infested_temple/infested_temple_room_forge
dungeons_arise:chests/infested_temple/infested_temple_room_garden
dungeons_arise:chests/infested_temple/infested_temple_room_normal
dungeons_arise:chests/infested_temple/infested_temple_room_supply
dungeons_arise:chests/infested_temple/infested_temple_room_table
dungeons_arise:chests/merchant_campsite/merchant_campsite_map
dungeons_arise:chests/merchant_campsite/merchant_campsite_supply
dungeons_arise:chests/merchant_campsite/merchant_campsite_tent
dungeons_arise:chests/thornborn_towers/thornborn_towers_rooms
dungeons_arise:chests/thornborn_towers/thornborn_towers_top_rooms
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_barrels
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_barrels
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_barrels
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_barrels
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_barrels",
minecraft:sticky_piston,"1, 3~6","dungeons_arise:chests/plague_asylum/plague_asylum_storage
dungeons_arise:chests/small_blimp/small_blimp_coal_storage
dungeons_arise:chests/small_blimp/small_blimp_redstone_chamber",
minecraft:stone,"1, 8~16","dungeons_arise:chests/lighthouse/lighthouse_top
dungeons_arise:chests/plague_asylum/plague_asylum_storage
dungeons_arise:chests/small_blimp/small_blimp_coal_storage
dungeons_arise:chests/small_blimp/small_blimp_redstone_chamber
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_enchants",
minecraft:stone_bricks,1~4,dungeons_arise:chests/abandoned_temple/abandoned_temple_entrance,
minecraft:stone_pickaxe,1,"dungeons_arise:chests/giant_mushroom/red_giant_mushroom
dungeons_arise:chests/giant_mushroom/twin_giant_mushroom
dungeons_arise:chests/mines_treasure_big
dungeons_arise:chests/mines_treasure_medium
dungeons_arise:chests/mining_system/mining_system_treasure
dungeons_arise:chests/mushroom_mines/mushroom_mines_barrels
dungeons_arise:chests/mushroom_mines/mushroom_mines_treasure",等级附魔
minecraft:stone_sword,1,"dungeons_arise:chests/abandoned_temple/abandoned_temple_map
dungeons_arise:chests/abandoned_temple/abandoned_temple_top
dungeons_arise:chests/illager_campsite/illager_campsite_map
dungeons_arise:chests/illager_campsite/illager_campsite_tent
dungeons_arise:chests/mushroom_house/mushroom_house_treasure
dungeons_arise:chests/plague_asylum/plague_asylum_cells",等级附魔
minecraft:string,"1, 1~16, 1~3, 1~5, 1~8, 2~3, 3~12","dungeons_arise:chests/bandit_towers/bandit_towers_normal
dungeons_arise:chests/bandit_towers/bandit_towers_rooms
dungeons_arise:chests/illager_campsite/illager_campsite_supply
dungeons_arise:chests/illager_windmill/illager_windmill_barrels
dungeons_arise:chests/infested_temple/infested_temple_room_bookshelf
dungeons_arise:chests/infested_temple/infested_temple_room_forge
dungeons_arise:chests/infested_temple/infested_temple_room_garden
dungeons_arise:chests/infested_temple/infested_temple_room_normal
dungeons_arise:chests/infested_temple/infested_temple_room_supply
dungeons_arise:chests/infested_temple/infested_temple_room_table
dungeons_arise:chests/mechanical_nest/mechanical_nest_equipment
dungeons_arise:chests/mechanical_nest/mechanical_nest_normal
dungeons_arise:chests/plague_asylum/plague_asylum_barrels
dungeons_arise:chests/small_blimp/small_blimp_treasure
dungeons_arise:chests/thornborn_towers/thornborn_towers_rooms
dungeons_arise:chests/thornborn_towers/thornborn_towers_top_rooms
dungeons_arise_seven_seas:chests/corsair_corvette/corsair_corvette_barrels
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_barrels
dungeons_arise_seven_seas:chests/small_yacht/small_yacht_barrels
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_barrels
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_barrels",
minecraft:sugar,1~8,"dungeons_arise:chests/aviary/aviary_barrels
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_supply",
minecraft:suspicious_stew,1,"dungeons_arise:chests/merchant_campsite/merchant_campsite_supply
dungeons_arise:chests/mushroom_village/mushroom_village_barrels",
minecraft:tipped_arrow,1~8,dungeons_arise:chests/shiraz_palace/shiraz_palace_treasure,自定义NBT
minecraft:tnt,"1, 1~4, 20~32","dungeons_arise:chests/illager_corsair/illager_corsair_barrels
dungeons_arise:chests/illager_galley/illager_galley_barrels
dungeons_arise:chests/lighthouse/lighthouse_top
dungeons_arise:chests/plague_asylum/plague_asylum_storage
dungeons_arise:chests/shiraz_palace/shiraz_palace_library
dungeons_arise:chests/small_blimp/small_blimp_coal_storage
dungeons_arise:chests/small_blimp/small_blimp_redstone_chamber
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_barrels",
minecraft:totem_of_undying,1,"dungeons_arise:chests/aviary/aviary_barrels
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_supply
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_theater
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_barrels
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_normal
dungeons_arise:chests/heavenly_conqueror/heavenly_conqueror_treasure
dungeons_arise:chests/heavenly_rider/heavenly_rider_barrels
dungeons_arise:chests/heavenly_rider/heavenly_rider_normal
dungeons_arise:chests/heavenly_rider/heavenly_rider_treasure",
minecraft:trident,1,dungeons_arise:chests/fishing_hut/fishing_hut_barrels,等级附魔
minecraft:tropical_fish,1~2,dungeons_arise:chests/fishing_hut/fishing_hut_barrels,
minecraft:water_bucket,1,"dungeons_arise:chests/fishing_hut/fishing_hut_barrels
dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_hallways
dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_normal",
minecraft:wet_sponge,1,"dungeons_arise:chests/illager_corsair/illager_corsair_supply
dungeons_arise:chests/illager_galley/illager_galley_supply
dungeons_arise:chests/monastery/monastery_barrels
dungeons_arise:chests/mushroom_village/mushroom_village_barrels
dungeons_arise:chests/small_prairie_house/small_prairie_house_barrels
dungeons_arise:chests/undead_pirate_ship/undead_pirate_ship_supply
dungeons_arise_seven_seas:chests/pirate_junk/pirate_junk_supply
dungeons_arise_seven_seas:chests/unicorn_galleon/unicorn_galleon_supply
dungeons_arise_seven_seas:chests/victory_frigate/victory_frigate_supply",
minecraft:wheat,"1~16, 1~2, 2~8, 4~6","dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_hallways
dungeons_arise:chests/greenwood_pub/greenwood_pub_barrels_normal
dungeons_arise:chests/greenwood_pub/greenwood_pub_normal
dungeons_arise:chests/illager_campsite/illager_campsite_supply
dungeons_arise:chests/illager_windmill/illager_windmill_barrels
dungeons_arise:chests/merchant_campsite/merchant_campsite_supply",
minecraft:white_wool,1~8,"dungeons_arise:chests/illager_campsite/illager_campsite_map
dungeons_arise:chests/illager_campsite/illager_campsite_tent
dungeons_arise:chests/merchant_campsite/merchant_campsite_map
dungeons_arise:chests/merchant_campsite/merchant_campsite_tent",
minecraft:wither_rose,"1, 1~2, 1~3, 1~4, 2~3, 2~4","dungeons_arise:chests/abandoned_temple/abandoned_temple_map
dungeons_arise:chests/abandoned_temple/abandoned_temple_top
dungeons_arise:chests/ceryneian_hind/ceryneian_hind_treasure
dungeons_arise:chests/greenwood_pub/greenwood_pub_normal
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_theater
dungeons_arise:chests/monastery/monastery_map
dungeons_arise:chests/mushroom_house/mushroom_house_treasure
dungeons_arise:chests/plague_asylum/plague_asylum_cells",
minecraft:wither_skeleton_skull,1,"dungeons_arise:chests/aviary/aviary_barrels
dungeons_arise:chests/heavenly_challenger/heavenly_challenger_supply
dungeons_arise:chests/scorched_mines/scorched_mines_treasure",
